area,la_city,covid_cases,covid_per_1k,lacounty_rate,Population,Share 65+,pct_white,pct_black,pct_latino,pct_asian,below_poverty_line,hh_overcrowding,avg_hh_size,housing_units,sq_mileage,housing_density,pop_density
Unincorporated Catalina Island,No,2,4.91,7.49,407,0.11,0.59,0.00,0.28,0.01,0.03,0.13,2.17,208,72.50,3,6
Bradbury,No,1,0.92,0.94,1092,0.34,0.49,0.01,0.10,0.38,0.09,0.00,2.70,535,1.90,282,575
Leona Valley,No,1,0.25,0.57,3935,0.16,0.79,0.07,0.11,0.01,0.05,0.00,3.01,1356,15.30,89,257
Vernon,No,1,19.23,4.78,52,0.12,0.12,0.02,0.81,0.05,0.04,0.00,2.42,24,5.20,5,10
Playa del Rey,Yes,1,0.08,0.31,12527,0.16,0.64,0.05,0.12,0.13,0.07,0.01,2.11,6775,2.80,2420,4474
Avalon,No,0,0.00,0.00,3669,0.14,0.29,0.00,0.69,0.00,0.17,0.12,2.75,2287,2.70,847,1359
Charter Oak,No,0,0.00,0.00,17549,0.15,0.28,0.03,0.53,0.13,0.10,0.06,3.20,5682,0.90,6313,19499
East Pasadena,No,0,0.00,0.00,6077,0.18,0.23,0.02,0.42,0.30,0.05,0.04,3.20,2223,1.30,1710,4675
Hidden Hills,No,0,0.00,0.00,5568,0.13,0.79,0.00,0.09,0.09,0.07,0.03,2.84,2054,1.70,1208,3275
San Pasqual,No,0,0.00,0.00,1932,0.18,0.53,0.05,0.19,0.20,0.08,0.02,2.20,996,0.30,3320,6440
Southeast Antelope Valley,No,0,0.00,0.00,7753,0.18,0.43,0.05,0.46,0.02,0.19,0.05,3.06,2801,193.00,15,40
